announcement_date,effective_date,stock_name,action,symbol
1996-09-18,1996-09-18,ABB India Ltd.,Inclusion,
1996-09-18,1996-09-18,Asian Paints Ltd.,Inclusion,
1996-09-18,1996-09-18,East India Hotels Ltd,Inclusion,
1996-09-18,1996-09-18,Glaxo (India) Ltd.,Inclusion,
1996-09-18,1996-09-18,Mahindra & Mahindra Ltd.,Inclusion,
1996-09-18,1996-09-18,Nestle India Limited,Inclusion,
1996-09-18,1996-09-18,Chambal Fertilizers & Chemicals Ltd.,Exclusion,
1996-09-18,1996-09-18,Hero Honda Motors Limited,Exclusion,
1996-09-18,1996-09-18,Apollo Tyres Ltd.,Exclusion,
1996-09-18,1996-09-18,Indian Aluminium Co. Ltd.,Exclusion,
1996-09-18,1996-09-18,Madras Refineries Ltd.,Exclusion,
1996-09-18,1996-09-18,Nagarjuna Fertilizers & Chemicals Ltd.,Exclusion,
1997-05-07,1997-05-07,Mahanagar Telephone Nigam Ltd.,Inclusion,
1997-05-07,1997-05-07,Brooke Bond Lipton India Ltd.,Exclusion,
1997-05-14,1997-05-14,Bharat Heavy Electricals Ltd.,Inclusion,BHEL
1997-05-14,1997-05-14,Hindustan Petroleum Corporation Ltd.,Inclusion,HINDPETRO
1997-05-14,1997-05-14,SCICI Ltd.,Exclusion,
1997-05-14,1997-05-14,Dr. Reddy's Laboratories Ltd.,Exclusion,
1997-12-24,1997-12-24,Bharat Petroleum Corporation Ltd.,Inclusion,BPCL
1997-12-24,1997-12-24,Essar Gujarat Ltd.,Exclusion,
1998-10-07,1998-10-07,NIIT Ltd.,Inclusion,
1998-10-07,1998-10-07,Smithkline Beecham Consumer Healthcare Ltd.,Inclusion,
1998-10-07,1998-10-07,Bank of India,Inclusion,
1998-10-07,1998-10-07,Cipla Ltd.,Inclusion,
1998-10-07,1998-10-07,Hero Honda Motors Limited,Inclusion,
1998-10-07,1998-10-07,Infosys Technologies Limited,Inclusion,
1998-10-07,1998-10-07,Procter & Gamble India Ltd.,Inclusion,
1998-10-07,1998-10-07,Thermax Ltd.,Exclusion,
1998-10-07,1998-10-07,Ashok Leyland Ltd.,Exclusion,
1998-10-07,1998-10-07,Bharat Petroleum Corporation Ltd.,Exclusion,BPCL
1998-10-07,1998-10-07,Indo Gulf Corporation Ltd.,Exclusion,
1998-10-07,1998-10-07,Mangalore Refinery & Petrochemicals Ltd.,Exclusion,
1998-10-07,1998-10-07,Ponds (India) Ltd.,Exclusion,
1998-10-07,1998-10-07,Andhra Valley Power Supply Co. Ltd.,Exclusion,
1999-05-26,1999-05-26,Reliance Capital Ltd.,Exclusion,
1999-05-26,1999-05-26,Great Eastern Shipping Company Limited.,Exclusion,
1999-05-26,1999-05-26,Arvind Mills Ltd,Exclusion,
1999-05-26,1999-05-26,Novartis India Ltd,Inclusion,
1999-05-26,1999-05-26,Dr. Reddy's Laboratories Ltd.,Inclusion,
1999-05-26,1999-05-26,Reckitt & Colman India Ltd.,Inclusion,
1999-09-08,1999-09-08,Indian Rayon & Industries Ltd.,Exclusion,
1999-09-08,1999-09-08,Industrial Finance Corporation Of India Ltd.,Exclusion,
1999-09-08,1999-09-08,Britannia Industries Ltd.,Inclusion,BRITANNIA
1999-09-08,1999-09-08,Satyam Computer Services Ltd.,Inclusion,
2000-05-10,2000-05-10,TVS Suzuki Ltd.,Exclusion,
2000-05-10,2000-05-10,Dabur India Ltd.,Inclusion,
2000-05-24,2000-05-24,EIH Ltd.,Exclusion,
2000-05-24,2000-05-24,Industrial Development Bank of India Limited,Exclusion,
2000-05-24,2000-05-24,HCL Infosystems Ltd.,Inclusion,
2000-05-24,2000-05-24,Zee Telefilms Ltd,Inclusion,
2000-09-01,2000-09-01,Bank of India,Exclusion,
2000-09-01,2000-09-01,Digital Equipment (india) Ltd.,Inclusion,
2002-01-17,2002-01-17,Kochi Refineries Ltd.,Exclusion,
2002-01-17,2002-01-17,HCL Infosystems Ltd.,Exclusion,
2002-01-17,2002-01-17,Sun Pharmaceutical Industries Ltd.,Inclusion,
2002-01-17,2002-01-17,Wipro Ltd.,Inclusion,
2002-01-25,2002-01-25,ICICI Bank Ltd.,Inclusion,
2002-01-25,2002-01-25,Reckitt Benckiser (India) Ltd,Exclusion,
