announcement_date,effective_date,symbol,action,era,corr_pre,corr_post,corr_jump,corr_persist,corr_jump_vs_ann
2015-02-20,2015-03-27,DLF,Exclusion,Era1_2015-2017,0.3844,0.5146,0.1302,0.2898,0.0626
2015-02-20,2015-03-27,JINDALSTEL,Exclusion,Era1_2015-2017,0.2707,0.4788,0.2081,0.2173,-0.0726
2015-02-20,2015-03-27,IDEA,Inclusion,Era1_2015-2017,0.1668,0.371,0.2042,0.3144,0.0985
2015-02-20,2015-03-27,YESBANK,Inclusion,Era1_2015-2017,0.6449,0.7153,0.0705,0.1436,0.0368
2015-08-12,2015-09-25,NMDC,Exclusion,Era1_2015-2017,0.4438,0.5252,0.0814,0.1478,0.0841
2015-08-12,2015-09-25,ADANIPORTS,Inclusion,Era1_2015-2017,0.7338,0.5074,-0.2264,-0.1037,-0.1035
2016-02-22,2016-03-25,EICHERMOT,Inclusion,Era1_2015-2017,0.5128,0.415,-0.0978,-0.1266,-0.111
2016-02-22,2016-03-25,AUROPHARMA,Inclusion,Era1_2015-2017,0.6133,0.3054,-0.3079,-0.2068,-0.2706
2016-02-22,2016-03-25,PNB,Exclusion,Era1_2015-2017,0.691,0.3032,-0.3878,-0.1465,-0.3561
2016-02-22,2016-03-25,VEDL,Exclusion,Era1_2015-2017,0.7531,0.5852,-0.1679,-0.189,-0.1263
2017-02-16,2017-03-31,BHEL,Exclusion,Era1_2015-2017,0.2737,0.35,0.0763,0.3128,-0.2422
2017-02-16,2017-03-31,IDEA,Exclusion,Era1_2015-2017,-0.0229,0.2005,0.2234,0.3755,0.1232
2017-02-16,2017-03-31,IBULHSGFIN,Inclusion,Era1_2015-2017,0.4261,0.266,-0.1601,0.0226,-0.1925
2017-02-16,2017-03-31,IOC,Inclusion,Era1_2015-2017,0.5941,0.0147,-0.5793,-0.2403,-0.6611
2017-08-28,2017-09-29,ACC,Exclusion,Era1_2015-2017,0.4477,0.361,-0.0867,0.0091,0.1217
2017-08-28,2017-09-29,BANKBARODA,Exclusion,Era1_2015-2017,0.6378,0.3251,-0.3127,-0.2205,-0.2347
2017-08-28,2017-09-29,TATAPOWER,Exclusion,Era1_2015-2017,0.4213,0.5966,0.1753,0.0089,0.2962
2017-08-28,2017-09-29,BAJFINANCE,Inclusion,Era1_2015-2017,0.4473,0.3562,-0.0911,0.0497,-0.1227
2017-08-28,2017-09-29,HINDPETRO,Inclusion,Era1_2015-2017,0.3872,0.3142,-0.0731,-0.0273,-0.1466
2017-08-28,2017-09-29,UPL,Inclusion,Era1_2015-2017,0.5668,0.3719,-0.1949,-0.0066,-0.1903
2018-02-21,2018-03-30,TITAN,Inclusion,Era2_2018-2025,0.4189,0.3794,-0.0394,0.0043,-0.1391
2018-02-21,2018-03-30,GRASIM,Inclusion,Era2_2018-2025,0.537,0.5285,-0.0085,-0.1804,-0.0444
2018-02-21,2018-03-30,BAJAJFINSV,Inclusion,Era2_2018-2025,0.4236,0.5289,0.1053,0.1781,0.0325
2018-02-21,2018-03-30,AUROPHARMA,Exclusion,Era2_2018-2025,0.2701,0.4115,0.1414,0.1578,-0.1
2018-02-21,2018-03-30,AMBUJACEM,Exclusion,Era2_2018-2025,0.455,0.4554,0.0004,0.0828,0.2904
2018-02-21,2018-03-30,BOSCHLTD,Exclusion,Era2_2018-2025,0.4078,0.0975,-0.3103,-0.1168,-0.1239
2019-08-28,2019-09-27,IBULHSGFIN,Exclusion,Era2_2018-2025,0.391,0.4418,0.0509,-0.0052,-0.0869
2019-08-28,2019-09-27,NESTLEIND,Inclusion,Era2_2018-2025,0.4788,0.4322,-0.0467,0.2513,0.0229
2020-02-18,2020-03-27,YESBANK,Exclusion,Era2_2018-2025,-0.0951,0.0442,0.1393,0.2756,-0.3083
2020-02-18,2020-03-27,SHREECEM,Inclusion,Era2_2018-2025,0.8374,0.637,-0.2004,-0.3434,0.3035
2020-08-20,2020-09-25,DIVISLAB,Inclusion,Era2_2018-2025,0.2305,0.4247,0.1941,0.4058,0.3034
2020-08-20,2020-09-25,ZEEL,Exclusion,Era2_2018-2025,0.4262,0.3971,-0.0291,0.0444,-0.1434
2020-08-20,2020-09-25,SBILIFE,Inclusion,Era2_2018-2025,0.525,0.3612,-0.1637,-0.1884,-0.0906
2021-02-23,2021-03-26,TATACONSUM,Inclusion,Era2_2018-2025,0.6185,0.314,-0.3044,-0.3749,-0.1925
2021-02-23,2021-03-26,GAIL,Exclusion,Era2_2018-2025,0.4353,0.3904,-0.0449,-0.0779,-0.0785
2022-02-24,2022-03-25,APOLLOHOSP,Inclusion,Era2_2018-2025,0.5587,0.453,-0.1057,-0.1116,0.0819
2022-02-24,2022-03-25,IOC,Exclusion,Era2_2018-2025,0.5911,0.3632,-0.2279,-0.2534,-0.1584
2024-02-28,2024-03-29,SHRIRAMFIN,Inclusion,Era2_2018-2025,0.3468,0.7757,0.4288,0.2942,0.305
2024-02-28,2024-03-29,UPL,Exclusion,Era2_2018-2025,0.5213,0.5728,0.0515,-0.0125,0.0245
2024-08-23,2024-09-30,DIVISLAB,Exclusion,Era2_2018-2025,0.3487,0.1595,-0.1892,0.1059,-0.1455
2024-08-23,2024-09-30,BEL,Inclusion,Era2_2018-2025,0.5487,0.6879,0.1392,0.0187,-0.0465
2024-08-23,2024-09-30,LTIM,Exclusion,Era2_2018-2025,0.4639,0.4228,-0.0411,0.0437,0.0118
2024-08-23,2024-09-30,TRENT,Inclusion,Era2_2018-2025,0.3763,0.5029,0.1266,-0.1175,-0.0102
2025-02-21,2025-03-28,BPCL,Exclusion,Era2_2018-2025,0.5544,0.5607,0.0063,-0.2163,0.0457
2025-02-21,2025-03-28,BRITANNIA,Exclusion,Era2_2018-2025,0.1765,0.413,0.2365,0.0266,0.2661
2025-02-21,2025-03-28,JIOFIN,Inclusion,Era2_2018-2025,0.6871,0.7406,0.0534,-0.1605,0.1406
2025-02-21,2025-03-28,ZOMATO,Inclusion,Era2_2018-2025,0.4962,0.6065,0.1103,-0.2922,0.261
2025-08-22,2025-09-26,INDIGO,Inclusion,Era2_2018-2025,0.2924,0.4736,0.1812,,0.0906
2025-08-22,2025-09-26,HEROMOTOCO,Exclusion,Era2_2018-2025,0.4396,0.3928,-0.0468,,-0.11
2025-08-22,2025-09-26,MAXHEALTH,Inclusion,Era2_2018-2025,0.4094,0.4311,0.0217,,-0.0138
2025-08-22,2025-09-26,INDUSINDBK,Exclusion,Era2_2018-2025,0.4382,0.4184,-0.0198,,0.1609
