announcement_date,effective_date,symbol,action,era,alpha,beta,sigma_e,car_eff_window,car_pre_drift,car_ann_day,car_post_short,car_post_medium,car_post_long,peak_var_ratio,ann_day_var_ratio,baseline_var_pct,corr_jump,corr_pre,corr_post,is_crisis,regime_label,era2,crisis,era2_x_crisis,inclusion,avol_ratio
2015-02-20,2015-03-27,DLF,Exclusion,Era1_2015-2017,-0.001301,1.9206,0.033605,-0.0016,-0.1654,0.0086,0.0483,0.1576,0.0708,1.334,1.228,2.918,0.1302,0.3844,0.5146,False,Calm,0,0,0,0,0.704
2015-02-20,2015-03-27,JINDALSTEL,Exclusion,Era1_2015-2017,-0.004147,1.8174,0.027547,0.0665,0.2777,0.0139,0.0155,-0.0781,0.0217,1.979,0.956,3.179,0.2081,0.2707,0.4788,False,Calm,0,0,0,0,9.925
2015-02-20,2015-03-27,IDEA,Inclusion,Era1_2015-2017,-0.001179,1.0216,0.020684,0.1486,-0.0182,0.0196,0.0093,0.1712,0.3128,1.4,1.252,3.193,0.2042,0.1668,0.371,False,Calm,0,0,0,1,0.934
2015-02-20,2015-03-27,YESBANK,Inclusion,Era1_2015-2017,0.001066,1.8131,0.018032,-0.0113,-0.0319,0.0239,-0.0098,0.0497,0.0746,1.164,1.164,2.607,0.0705,0.6449,0.7153,False,Calm,0,0,0,1,0.686
2015-08-12,2015-09-25,NMDC,Exclusion,Era1_2015-2017,-0.001776,0.7462,0.016262,-0.0898,-0.0151,-0.0452,-0.0159,0.1612,0.1365,1.929,1.339,2.318,0.0814,0.4438,0.5252,False,Calm,0,0,0,0,2.432
2015-08-12,2015-09-25,ADANIPORTS,Inclusion,Era1_2015-2017,0.000519,1.4004,0.019149,-0.0724,0.0319,0.0253,0.0663,0.0573,-0.0172,2.058,0.925,2.474,-0.2264,0.7338,0.5074,False,Calm,0,0,0,1,0.0
2016-02-22,2016-03-25,EICHERMOT,Inclusion,Era1_2015-2017,0.001408,1.2251,0.019362,0.0465,0.0599,0.0345,0.0101,-0.1615,-0.1272,0.909,0.441,3.915,-0.0978,0.5128,0.415,False,Calm,0,0,0,1,0.409
2016-02-22,2016-03-25,AUROPHARMA,Inclusion,Era1_2015-2017,0.002166,1.3411,0.020331,-0.0116,-0.1149,0.0118,0.0229,-0.0085,-0.0581,1.448,1.448,4.807,-0.3079,0.6133,0.3054,False,Calm,0,0,0,1,0.819
2016-02-22,2016-03-25,PNB,Exclusion,Era1_2015-2017,-0.001931,1.3772,0.019638,0.0127,-0.1366,-0.0225,0.0081,0.0952,0.1425,1.144,1.144,6.159,-0.3878,0.691,0.3032,False,Calm,0,0,0,0,0.735
2016-02-22,2016-03-25,VEDL,Exclusion,Era1_2015-2017,-0.002152,1.9177,0.028186,-0.0271,0.1239,0.0096,0.0088,0.1686,0.2654,0.926,0.926,7.975,-0.1679,0.7531,0.5852,False,Calm,0,0,0,0,0.509
