announcement_date,symbol,action,era,baseline_var_pct,peak_var_ratio,peak_day_offset,post_mean_ratio,ann_day_var_ratio
2015-02-20,DLF,Exclusion,Era1_2015-2017,2.918,1.334,11,1.212,1.228
2015-02-20,JINDALSTEL,Exclusion,Era1_2015-2017,3.179,1.979,20,1.321,0.956
2015-02-20,IDEA,Inclusion,Era1_2015-2017,3.193,1.4,15,1.173,1.252
2015-02-20,YESBANK,Inclusion,Era1_2015-2017,2.607,1.164,0,0.994,1.164
2015-08-12,NMDC,Exclusion,Era1_2015-2017,2.318,1.929,18,1.523,1.339
2015-08-12,ADANIPORTS,Inclusion,Era1_2015-2017,2.474,2.058,18,1.316,0.925
2016-02-22,EICHERMOT,Inclusion,Era1_2015-2017,3.915,0.909,17,0.483,0.441
2016-02-22,AUROPHARMA,Inclusion,Era1_2015-2017,4.807,1.448,0,1.187,1.448
2016-02-22,PNB,Exclusion,Era1_2015-2017,6.159,1.144,0,0.762,1.144
2016-02-22,VEDL,Exclusion,Era1_2015-2017,7.975,0.926,0,0.513,0.926
2017-02-16,BHEL,Exclusion,Era1_2015-2017,1.344,1.914,0,1.305,1.914
2017-02-16,IDEA,Exclusion,Era1_2015-2017,3.24,1.407,20,1.02,0.764
2017-02-16,IBULHSGFIN,Inclusion,Era1_2015-2017,2.164,0.558,0,0.52,0.558
2017-02-16,IOC,Inclusion,Era1_2015-2017,1.957,1.076,0,0.777,1.076
2017-08-28,ACC,Exclusion,Era1_2015-2017,1.457,2.27,20,1.404,1.201
2017-08-28,BANKBARODA,Exclusion,Era1_2015-2017,2.968,1.41,0,1.061,1.41
2017-08-28,TATAPOWER,Exclusion,Era1_2015-2017,1.658,1.479,19,1.304,1.341
2017-08-28,BAJFINANCE,Inclusion,Era1_2015-2017,2.557,1.449,0,1.302,1.449
2017-08-28,HINDPETRO,Inclusion,Era1_2015-2017,3.494,1.157,0,0.72,1.157
2017-08-28,UPL,Inclusion,Era1_2015-2017,1.713,2.228,0,1.363,2.228
2018-02-21,TITAN,Inclusion,Era2_2018-2025,2.663,0.957,0,0.553,0.957
2018-02-21,GRASIM,Inclusion,Era2_2018-2025,2.551,1.204,0,0.857,1.204
2018-02-21,BAJAJFINSV,Inclusion,Era2_2018-2025,1.64,1.002,0,0.916,1.002
2018-02-21,AUROPHARMA,Exclusion,Era2_2018-2025,2.64,1.08,0,0.913,1.08
2018-02-21,AMBUJACEM,Exclusion,Era2_2018-2025,2.38,1.336,16,1.243,1.091
2018-02-21,BOSCHLTD,Exclusion,Era2_2018-2025,1.477,1.313,17,1.238,1.309
2019-08-28,IBULHSGFIN,Exclusion,Era2_2018-2025,9.008,0.84,0,0.705,0.84
2019-08-28,NESTLEIND,Inclusion,Era2_2018-2025,1.413,1.186,17,1.113,0.783
2020-02-18,YESBANK,Exclusion,Era2_2018-2025,6.613,2.295,15,1.599,0.875
2020-02-18,SHREECEM,Inclusion,Era2_2018-2025,1.462,5.088,20,2.606,1.148
2020-08-20,DIVISLAB,Inclusion,Era2_2018-2025,1.308,2.139,13,1.685,0.907
2020-08-20,ZEEL,Exclusion,Era2_2018-2025,4.354,1.049,13,0.929,0.959
2020-08-20,SBILIFE,Inclusion,Era2_2018-2025,2.99,0.888,0,0.819,0.888
2021-02-23,TATACONSUM,Inclusion,Era2_2018-2025,1.919,0.826,3,0.748,0.735
2021-02-23,GAIL,Exclusion,Era2_2018-2025,2.984,1.178,15,1.092,0.86
2022-02-24,APOLLOHOSP,Inclusion,Era2_2018-2025,4.461,1.022,0,0.805,1.022
2022-02-24,IOC,Exclusion,Era2_2018-2025,2.618,1.752,0,1.358,1.752
2024-02-28,SHRIRAMFIN,Inclusion,Era2_2018-2025,2.478,1.68,9,1.479,1.272
2024-02-28,UPL,Exclusion,Era2_2018-2025,3.54,0.885,0,0.545,0.885
2024-08-23,DIVISLAB,Exclusion,Era2_2018-2025,2.26,1.475,0,0.728,1.475
2024-08-23,BEL,Inclusion,Era2_2018-2025,3.618,0.783,19,0.651,0.75
2024-08-23,LTIM,Exclusion,Era2_2018-2025,2.371,1.309,0,0.56,1.309
2024-08-23,TRENT,Inclusion,Era2_2018-2025,3.587,0.971,0,0.358,0.971
2025-02-21,BPCL,Exclusion,Era2_2018-2025,2.917,0.972,4,0.948,0.826
2025-02-21,BRITANNIA,Exclusion,Era2_2018-2025,1.712,1.17,4,0.971,1.121
2025-02-21,JIOFIN,Inclusion,Era2_2018-2025,4.877,0.752,4,0.722,0.644
2025-02-21,ZOMATO,Inclusion,Era2_2018-2025,5.864,0.668,20,0.598,0.505
2025-08-22,INDIGO,Inclusion,Era2_2018-2025,2.056,1.084,3,0.819,0.756
2025-08-22,HEROMOTOCO,Exclusion,Era2_2018-2025,1.723,0.999,0,0.81,0.999
2025-08-22,MAXHEALTH,Inclusion,Era2_2018-2025,2.297,1.367,2,1.184,0.826
2025-08-22,INDUSINDBK,Exclusion,Era2_2018-2025,2.684,1.068,0,0.679,1.068
